"序號",標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-73,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,吳惠婷,請台灣各航空行行好，能夠開放寵物在客艙，減少孩子們焦慮，死亡風險，而且回台灣更不要隔離7天太久了，對我來說根本度日如年，心如刀割，賴清德總統可以麻煩您聽聽我的留言嗎？這非常重要的,2024-07-01 04:23:29,其他想法,4,1
M-74,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Vicky,寵物不是🧳 希望本案能夠速速通過✅,2024-07-02 08:56:37,其他想法,2,1
M-75,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Doris,"總統的這想提議非常好，改善動物運輸上的一些危機，但是所謂的寵物可以上飛機是指貓狗而已嗎？還是只所有的小心動物因為有一些航空公司他是可以讓所有的小型動物上飛機在客艙，因為我現在剛好面臨到這個問題，我們全家移民，但我一直沒有回去美國住兩地跑，現在面臨我要帶我的非洲灰鸚鵡到紐約我的內心百感交集深怕他在貨倉死掉，然後我在美國辦理鸚鵡進口美國的程序已經花掉我$50,00美金因為程序很複雜，然後到了美國還要隔離，那是否也允許鳥類可以上客艙，我等這一顆等了好久好久我科學的方式跟不科學的方式都是了，我還請師父問請神明問，但這些都是心理上自己在騙自己，所以我希望鳥類小寵物都可以帶上飛機跟主人同坐，這樣可以避免掉很多的風險。因為我目前面臨的就是這些問題，希望提議能過，因為我到處求人到處問辦立德公司到處找航空公司找到現在都還沒有找到，剛好看到這則新聞，我的心放下了一半，因為我的鸚鵡他是有靈性的會說話也會跟人互動之前已經有一隻死掉了，如果這隻在飛機上在死掉我可能會再次憂鬱症復發輕生的念頭，因為之前我的憂鬱症是因為鸚鵡讓我治好的希望能准許鳥類上飛機也請幫幫我，我不知道目前我該怎麼做才能帶我的鸚鵡移民到美國拜託拜託。然後如果這條法令通過了是多久實施這項提案我的鸚鵡可以搭乘還需要多久？謝謝你總統。",2024-07-02 12:58:55,其他想法,2,0
M-76,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Doris,"總統的這想提議非常好，改善動物運輸上的一些危機，但是所謂的寵物可以上飛機是指貓狗而已嗎？還是只所有的小心動物因為有一些航空公司他是可以讓所有的小型動物上飛機在客艙，因為我現在剛好面臨到這個問題，我們全家移民，但我一直沒有回去美國住兩地跑，現在面臨我要帶我的非洲灰鸚鵡到紐約我的內心百感交集深怕他在貨倉死掉，然後我在美國辦理鸚鵡進口美國的程序已經花掉我$50,00美金因為程序很複雜，然後到了美國還要隔離，那是否也允許鳥類可以上客艙，我等這一顆等了好久好久我科學的方式跟不科學的方式都是了，我還請師父問請神明問，但這些都是心理上自己在騙自己，所以我希望鳥類小寵物都可以帶上飛機跟主人同坐，這樣可以避免掉很多的風險。因為我目前面臨的就是這些問題，希望提議能過，因為我到處求人到處問辦立德公司到處找航空公司找到現在都還沒有找到，剛好看到這則新聞，我的心放下了一半，因為我的鸚鵡他是有靈性的會說話也會跟人互動之前已經有一隻死掉了，如果這隻在飛機上在死掉我可能會再次憂鬱症復發輕生的念頭，因為之前我的憂鬱症是因為鸚鵡讓我治好的希望能准許鳥類上飛機也請幫幫我，我不知道目前我該怎麼做才能帶我的鸚鵡移民到美國拜託拜託。然後如果這條法令通過了是多久實施這項提案我的鸚鵡可以搭乘還需要多久？謝謝你總統。",2024-07-02 13:00:40,其他想法,2,0
M-77,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,吳惠婷,希望台灣可以開放寵物客艙友善，他們是一個生命脆弱的孩子，需要媽媽陪在身邊需要安全感，日本韓國都有開放寵物友善機型，希望台灣也可以進步，亞洲區都開放，真的很不希望自己的孩子死掉，為了孩子都不敢出國，真的很想帶他們去玩，不忍心讓他一個人待在台灣思念著媽媽～,2024-07-08 21:57:39,其他想法,3,2
M-78,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,寵物等於家人，對於把狗當人持有反對意見的人，我只想問 如果他只是一個陌生的人，不吵不鬧。你會討厭嗎。或者是他只是一個安靜或哭鬧的嬰兒，你會要求嬰兒不應該上飛機嗎。對於動物過敏的人，建議是提出要求 安排座位。例如你是素食的人，會給你素食飛機餐。相同的你對多毛的人過敏，也是可以安排較遠的距離。請換個角度思考，今天把別人的家人放進貨艙，因此導致一條生命的離開。如果是你的家人，我相信你會痛不欲生。在此，望人人都能將心比心。各種家人在不影響他人的狀態下，可以在同一個空間相處。畢竟他於你只是過客。你與他也是。生命之間的尊重是必要的。在這裡，只能請讀到這篇文章的人能夠換位思考。畢竟想法是自己的，沒人能夠干涉。,2024-07-10 10:23:51,其他想法,4,2
M-79,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Elaine,"我想請問一下下列幾個點
1.如果同飛機的人有對寵物毛髮過敏應該如何處置

2.如果同飛機的人害怕貓狗應該如何處理

3您所謂的寵物是只有毛孩還是其他特寵也算在內

4.是否會造成其他乘客和空服員的困擾

我自己也是一個毛小孩的姐姐還有四隻守宮的媽媽，我也會想帶牠們上飛機出去看看各種不同的景點，但是我們是否可以先去想想看到底能不能行？

機場跟飛機上一定會有各式各樣的人
飛機上是密閉空間，或許乘客會沒有對寵物毛髮過敏的問題，但是在機場呢？其他航班的乘客會不會有對貓狗毛髮的問題產生？

所以我希望能夠慎重考慮一下，為了自家毛小孩們也好，為了其他乘客著想也好。",2024-07-15 22:49:46,贊成論點,2,3
M-80,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,vivi,支持國內客艙可以讓寵物跟隨身在旁，可規定至於籠中，要求飼主保持客艙乾淨及適時安撫寵物避免影響他人，對待貓狗寵物就像對待孩子一樣，依舊要教導規矩禮儀，不影響他人及現場環境.等，也是現在所有貓狗飼主該有的觀念。,2024-07-16 14:15:43,其他想法,3,3
M-81,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,kitty,"毛孩是家人，我贊成跟進其他國外航空，讓毛孩跟主人同座客艙～
不只毛孩不會因為緊張造成身心靈受傷，主人也不用擔心毛孩狀況是否平安",2024-07-16 19:12:04,其他想法,3,2
M-82,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,丁丁,"反對，我反對的是要公權力強制介入，既然航空公司不想推動這一塊，那麼應該尊重人家公司放棄這塊市場的權利，而不是要全世界圍著某些人的寵物轉。

寵物事實上就是屬於人類的財產、無行為能力的生物，不是主人情感上當他家人就要公權力要求所有所有人讓你家寶貝橫行無阻。
有人會過敏會不舒服、有天兵主人讓寵物在機上雞飛狗跳、有寵物無法適應氣壓改變不舒服吼叫亂竄，到時候出事誰負責？還不是當初要求他們開放本來不想開放寵物航班的航空公司負責？
現在說可以自己負責都是嘴砲而已，真的出事還是要航空公司交代",2024-07-17 16:44:30,贊成論點,1,3
M-83,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,其他旅客的權益(比如不願被寵物叫聲干擾，或對寵物過敏)，應該也要列入考慮,2024-07-19 17:32:45,贊成論點,1,3
M-84,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,支持的人,不好意思 那些對毛孩過敏的人 我也對小孩過敏我討厭他們尖叫哭鬧 那小孩是不是也要做貨艙或拴起來或者嘴巴封起來?,2024-07-23 08:37:04,其他想法,4,3
M-85,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-07-26 22:08:19,其他想法,0,0
M-86,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-09-05 21:49:41,贊成論點,0,0
M-87,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,我超級贊成文中的觀點，高小姐的想法太好了！,2024-09-14 11:20:56,其他想法,3,2
M-88,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-09-15 14:10:03,其他想法,0,0
M-89,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-09-15 14:20:04,其他想法,0,0
M-90,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Wendy KOO,"支持讓寵物坐客艙。
可以劃出寵物可坐區域，或航線中劃出部份航班的客艙可載寵物即可。
如果有進一步行動請通知，會儘力支持提案。加大油喔。",2024-09-16 17:34:51,其他想法,3,2
